data,saudavel,manchaW,zona0
2021-06-03,0.8786,0.8731,0.64
2021-06-06,0.8826,0.8831,0.6342
2021-06-06,0.8844,0.8833,0.6398
2021-06-08,0.8746,0.8796,0.6268
2021-06-08,0.8741,0.8758,0.6321
2021-06-11,0.8656,0.8795,0.6174
2021-06-11,0.863,0.8771,0.6173
2021-06-13,0.8717,0.8836,0.6164
2021-06-13,0.8678,0.8796,0.6153
2021-06-23,0.8643,0.8741,0.6697
2021-06-23,0.8649,0.8752,0.6701
2021-07-01,0.8846,0.8985,0.617
2021-07-01,0.883,0.8967,0.617
2021-07-08,0.8763,0.8867,0.6655
2021-07-08,0.8752,0.8856,0.6661
2021-07-11,0.884,0.8945,0.683
2021-07-11,0.886,0.8965,0.6837
2021-07-16,0.8871,0.9,0.7095
2021-07-16,0.8862,0.8987,0.7092
2022-02-21,0.1805,0.1816,0.3569
2022-03-18,0.3266,0.3051,0.5087
2022-04-02,0.3843,0.3489,0.5342
2022-04-04,0.3956,0.3598,0.5415
2022-04-29,0.7273,0.6739,0.6283
2022-05-04,0.7872,0.7573,0.5263
2022-05-07,0.8204,0.8084,0.5492
2022-05-09,0.8402,0.8325,0.5605
2022-05-14,0.8749,0.8736,0.5683
2022-05-19,0.8797,0.8845,0.5897
2022-06-11,0.8914,0.8922,0.706
2022-06-13,0.8754,0.8772,0.7053
2022-06-28,0.8815,0.8963,0.7767
2022-07-01,0.893,0.9096,0.7481
2022-07-06,0.8913,0.9107,0.7461
2022-07-08,0.888,0.9059,0.745
2022-07-18,0.89,0.8986,0.7492
2023-02-16,0.2442,0.2565,0.3912
2023-02-18,0.2672,0.2818,0.4216
2023-02-26,0.2477,0.2569,0.4219
2023-02-28,0.2586,0.2611,0.4214
2023-03-03,0.2465,0.2458,0.4112
2023-03-15,0.2682,0.2336,0.4609
2023-04-02,0.321,0.2625,0.2473
2023-04-07,0.3227,0.2626,0.2439
2023-04-09,0.3354,0.2732,0.2605
2023-04-19,0.4623,0.3841,0.2887
2023-04-27,0.5945,0.5387,0.4225
2023-05-07,0.746,0.7339,0.6599
2023-05-17,0.7904,0.7897,0.4472
2023-05-19,0.7883,0.7878,0.4445
2023-05-24,0.8303,0.8297,0.4658
2023-06-01,0.8455,0.8726,0.5273
2023-06-23,0.8583,0.8811,0.5118
2023-06-26,0.706,0.7196,0.4982
2023-06-28,0.5991,0.6068,0.4538
2023-07-01,0.8802,0.8878,0.5317
2023-07-03,,0.8775,
2023-07-06,0.8838,0.8811,0.5651
2023-07-13,0.9051,0.9062,0.6152
2023-07-16,0.8745,0.875,0.6425
2023-07-18,0.8888,0.8886,0.6641
2024-03-22,0.2592,0.256,0.3458
2024-03-24,0.2637,0.2661,0.3555
2024-04-16,0.3647,0.3696,0.401
2024-04-18,0.3963,0.4075,0.4122
2024-04-21,0.4442,0.4633,0.4438
2024-04-23,0.4803,0.5046,0.4647
2024-05-11,0.7068,0.7274,0.5176
2024-05-28,0.828,0.8335,0.5685
2024-05-31,0.7953,0.8055,0.5471
2024-06-02,0.8192,0.8262,0.5728
2024-06-10,0.5172,0.5175,0.5162
2024-06-12,0.866,0.8518,0.6465
2024-06-27,0.8594,0.8778,0.6033
2024-07-02,0.8573,0.8788,0.6231
2024-07-05,0.8773,0.9005,0.6506
2024-07-12,0.8805,0.8947,0.6978
2024-07-17,0.8857,0.8933,0.717
2025-03-02,0.2914,0.3168,0.4537
2025-03-26,0.3361,0.3542,0.3833
2025-03-27,0.3342,0.3496,0.379
2025-03-29,0.3283,0.3474,0.3534
2025-03-29,0.3416,0.3601,0.3605
2025-04-23,0.5259,0.5333,0.4441
2025-04-28,0.6139,0.6012,0.4751
2025-04-28,0.6237,0.6056,0.475
2025-05-06,0.736,0.6549,0.563
2025-05-16,0.8319,0.7239,0.6207
2025-05-23,0.8423,0.7508,0.6294
2025-05-28,,0.7685,
2025-05-31,0.8361,0.763,0.5403
2025-06-07,0.7649,0.6981,0.5427
2025-06-15,0.8943,0.8333,0.6438
2025-06-17,0.8877,0.8293,0.6294
2025-06-17,0.8737,0.81,0.6181
2025-06-20,0.894,0.8399,0.6408
2025-06-22,0.8899,0.8322,0.6427
2025-06-27,0.9016,0.8402,0.6623
2025-06-27,0.8989,0.8344,0.6566
2025-06-30,0.8939,0.838,0.6624
2025-07-02,0.8932,0.8329,0.6072
2025-07-04,0.8854,0.8244,0.5365
2025-07-05,0.8985,0.8417,0.546
2025-07-07,0.8952,0.839,0.5509
2025-07-07,0.8916,0.8325,0.5417
2025-07-14,0.8892,0.8012,0.5387
2025-07-15,0.8964,0.8097,0.5553
2026-02-22,0.3783,0.4177,0.4724
2026-02-22,0.3768,0.4169,0.4692
2026-03-04,0.2967,0.3558,0.3958
2026-03-07,0.3189,0.445,0.4776
2026-03-17,0.3265,0.4854,0.5191
2026-03-22,0.3187,0.4881,0.4192
2026-03-24,0.3004,0.4685,0.4099
2026-03-24,0.297,0.4762,0.412
2026-03-27,0.2996,0.4755,0.42
2026-03-31,0.3186,0.4852,0.4423
2026-04-01,0.3434,0.496,0.4581
2026-04-03,0.356,0.4906,0.4583
2026-04-03,0.3498,0.4858,0.4581
2026-04-06,0.4269,0.4992,0.4803
2026-04-10,0.6025,0.5255,0.5291
2026-04-18,0.7233,0.595,0.5148
2026-04-26,0.8424,0.6889,0.4647
2026-05-20,0.9028,0.7468,0.693
2026-05-26,0.8995,0.748,0.7235
2026-05-28,0.8841,0.7209,0.714
2026-05-31,0.9011,0.7527,0.752
2026-06-07,0.8939,0.7504,0.762
2026-06-09,0.8923,0.7452,0.7648
2026-06-10,0.8957,0.7587,0.778
2026-06-15,0.8883,0.7443,0.7622
2026-06-17,0.8957,0.7376,0.7592
2026-06-27,0.8286,0.7036,0.5283
2026-06-29,0.8843,0.6803,0.6001
2026-06-30,0.898,0.6986,0.6286
2026-07-02,0.8861,0.6789,0.6234
2026-07-02,0.8743,0.6607,0.6121
2026-07-05,0.8649,0.658,0.617
2026-07-09,0.8703,0.6666,0.6327
2026-07-15,0.8976,0.7212,0.677
